"last_name, first_name","player_id","year","k_percent","bb_percent","woba","xwoba","xobp","wobacon","xwobacon","avg_swing_speed","squared_up_contact","ideal_angle_rate","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_hyper_speed","z_swing_percent","oz_swing_percent","iz_contact_percent","whiff_percent"
"Brown, Seth",664913,2023,26.7,7.9,".298",".322",".301",".370",".408","73.8",32.3,53.8,"90.5",32.7,12.2,9.8,46.5,"95.093750082",71.3,31.1,82.1,31.3
"Baddoo, Akil",668731,2023,24.9,11.8,".299",".301",".312",".347",".351","72.2",27.4,46.8,"88.1",26.5,6.2,3.5,36.8,"93.595535682",68.6,25.7,83.6,25.3
"Riley, Austin",663586,2023,24.1,8.3,".363",".365",".342",".449",".452","76.2",30.4,48.1,"92.3",35.2,13.9,7.8,49.2,"96.274145591",69.9,27.3,79.1,27.8
"Meneses, Joey",608841,2023,19.8,5.8,".314",".288",".295",".365",".329","69.7",41.1,45.4,"89.4",32.9,5.4,5,41.7,"94.237468244",64.7,31.5,85.8,23.6
"Knizner, Andrew",668800,2023,25.7,5,".306",".286",".270",".386",".356","71.4",35,65.5,"89.6",26.8,7.9,6.7,40.9,"94.587740186",72.1,37,78,27.3
"Rosario, Amed",642708,2023,18.2,5.3,".297",".305",".314",".337",".347","71.2",31.4,37.9,"88.3",33.8,3.4,5.8,39.4,"93.941784576",69.2,39.4,85.7,23.1
"Colás, Oscar",693049,2023,27,4.6,".249",".264",".266",".316",".339","75.5",32,40.3,"88.9",28.1,7.9,5.1,40.4,"94.790742442",70,39.8,79.9,31.8
"Kirilloff, Alex",666135,2023,25.1,8.8,".343",".334",".341",".417",".403","70.3",35.2,51.9,"88.6",40.2,7.4,8.3,37.7,"93.556002892",64.8,33,82.6,27.6
"Nootbaar, Lars",663457,2023,19.7,14.3,".344",".356",".372",".372",".390","72.2",36.5,63.5,"89.1",30.8,8.8,5.4,37.8,"94.369985457",53.4,17.1,86.1,18.5
"Verdugo, Alex",657077,2023,15.4,7.5,".322",".331",".340",".346",".358","67.6",43.7,46.6,"89.2",35.4,5,6.3,37.6,"93.701176864",57.5,22.2,91.7,15.6
"Bethancourt, Christian",542194,2023,27.4,3.9,".271",".266",".244",".356",".348","72.5",28.9,60.8,"88.6",28.5,7.9,4.4,40.8,"94.065729509",77.7,45.2,75.3,36.6
"Seager, Corey",608369,2023,16.4,9.1,".419",".412",".381",".481",".472","71.8",40,53.7,"93.3",38,15.2,11.4,53.2,"96.785948962",83.6,28.1,85.9,25
"Palacios, Joshua",641943,2023,21.2,4.5,".297",".318",".299",".354",".383","71.5",37.6,51.6,"91.3",30.9,9.8,5.2,45.4,"95.127376383",72.5,30.2,79.3,26.7
"Isbel, Kyle",664728,2023,18.8,5.4,".286",".289",".289",".326",".331","71",42,43.2,"89.4",32.2,5.5,5.5,39.8,"93.847228522",63.5,28.7,89,20.8
